order_line_id,order_id,customer_id,product_id,order_date,quantity,unit_price
OL000001,ORD00001,CUST0246,PROD0196,2025-06-13,5,573.37
OL000002,ORD00001,CUST0246,PROD0178,2025-06-13,6,421.03
OL000003,ORD00001,CUST0246,PROD0070,2025-06-13,3,429.51
OL000004,ORD00002,CUST0761,PROD0069,2025-06-28,4,506.36
OL000005,ORD00002,CUST0761,PROD0049,2025-06-28,1,602.99
OL000006,ORD00002,CUST0761,PROD0047,2025-06-28,2,342.02
OL000007,ORD00003,CUST0114,PROD0117,2026-03-03,5,486.27
OL000008,ORD00003,CUST0114,PROD0116,2026-03-03,3,569.78
OL000009,ORD00004,CUST0638,PROD0049,2026-05-04,3,602.99
OL000010,ORD00004,CUST0638,PROD0005,2026-05-04,2,67.39
OL000011,ORD00004,CUST0638,PROD0013,2026-05-04,5,255.75
OL000012,ORD00005,CUST0191,PROD0073,2024-04-14,3,204.51
OL000013,ORD00006,CUST0733,PROD0187,2026-04-26,1,613.86
OL000014,ORD00007,CUST0093,PROD0004,2024-06-03,4,100.29
OL000015,ORD00008,CUST0351,PROD0080,2025-03-06,4,671.97
OL000016,ORD00009,CUST0475,PROD0009,2026-08-22,3,686.38
OL000017,ORD00009,CUST0475,PROD0021,2026-08-22,2,321.30
OL000018,ORD00010,CUST0273,PROD0101,2026-03-05,1,67.32
OL000019,ORD00011,CUST0482,PROD0050,2025-08-09,3,295.23
OL000020,ORD00011,CUST0482,PROD0098,2025-08-09,1,410.79
OL000021,ORD00011,CUST0482,PROD0032,2025-08-09,6,100.68
OL000022,ORD00012,CUST0395,PROD0064,2025-11-05,6,381.01
OL000023,ORD00013,CUST0204,PROD0189,2025-04-16,1,479.61
OL000024,ORD00014,CUST0682,PROD0122,2024-10-21,4,599.57
OL000025,ORD00014,CUST0682,PROD0175,2024-10-21,3,332.69
OL000026,ORD00014,CUST0682,PROD0083,2024-10-21,2,211.51
OL000027,ORD00015,CUST0746,PROD0191,2024-10-15,5,440.82
OL000028,ORD00015,CUST0746,PROD0134,2024-10-15,1,80.96
OL000029,ORD00015,CUST0746,PROD0065,2024-10-15,4,12.74
OL000030,ORD00016,CUST0306,PROD0093,2024-07-22,1,521.63
OL000031,ORD00016,CUST0306,PROD0171,2024-07-22,2,387.90
OL000032,ORD00016,CUST0306,PROD0029,2024-07-22,2,689.01
OL000033,ORD00017,CUST0445,PROD0004,2024-11-28,2,100.29
OL000034,ORD00017,CUST0445,PROD0071,2024-11-28,5,255.99
OL000035,ORD00017,CUST0445,PROD0031,2024-11-28,4,368.46
OL000036,ORD00018,CUST0010,PROD0149,2025-03-19,6,105.49
OL000037,ORD00019,CUST0705,PROD0096,2025-08-04,1,231.25
OL000038,ORD00019,CUST0705,PROD0064,2025-08-04,2,381.01
OL000039,ORD00020,CUST0094,PROD0159,2026-05-31,3,441.08
OL000040,ORD00020,CUST0094,PROD0195,2026-05-31,6,203.66
OL000041,ORD00021,CUST0062,PROD0166,2024-12-30,2,702.44
OL000042,ORD00022,CUST0550,PROD0028,2026-06-10,2,281.08
OL000043,ORD00022,CUST0550,PROD0125,2026-06-10,2,138.01
OL000044,ORD00022,CUST0550,PROD0082,2026-06-10,5,596.94
OL000045,ORD00023,CUST0775,PROD0113,2024-12-21,6,278.17
OL000046,ORD00023,CUST0775,PROD0050,2024-12-21,1,295.23
OL000047,ORD00023,CUST0775,PROD0177,2024-12-21,4,13.38
OL000048,ORD00024,CUST0742,PROD0065,2024-05-17,1,12.74
OL000049,ORD00024,CUST0742,PROD0125,2024-05-17,6,138.01
OL000050,ORD00025,CUST0573,PROD0139,2024-10-28,6,421.56
OL000051,ORD00025,CUST0573,PROD0126,2024-10-28,2,684.09
OL000052,ORD00026,CUST0192,PROD0090,2026-02-14,3,545.26
OL000053,ORD00026,CUST0192,PROD0188,2026-02-14,4,639.37
